District,Population
Achham,209318
Arghakhanchi,139054
Baglung,198447
Baitadi,197067
Bajhang,165950
Bajura,120755
Banke,450690
Bara,617588
Bardiya,346350
Bhojpur,121788
Chitawan,515209
Dadeldhura,116459
Dailekh,221523
Dang,477927
Darchula,105983
Dhading,246195
Dhankuta,119700
Dhanusha,621043
Dolakha,127229
Dolpa,32954
Doti,159917
Gorkha,189457
Gulmi,196579
Humla,46037
Ilam,220144
Jajarkot,155145
Jhapa,695024
Jumla,96051
Kabhrepalanchok,113675
Kailali,1083069
Kalikot,25995
Kanchanpur,1230346
Kapilbastu,611327
Kaski,369624
Kathmandu valley,5824210
Khotang,137645
Lamjung,117825
Mahottari,516952
Makawanpur,329246
Manang,3419
Morang,844163
Mugu,50284
Mustang,9056
Myagdi,81515
Nawalparasi East,261328
Nawalparasi West,284886
Nuwakot,197751
Okhaldhunga,103974
Palpa,188258
Panchthar,134796
Parbat,38178
Parsa,1467863
Pyuthan,178934
Ramechhap,143291
Rasuwa,31353
Rautahat,626195
Rolpa,176860
Rukum East,49814
Rukum West,120881
Rupandehi,776583
Salyan,199730
Sankhuwasabha,116751
Saptari,522709
Sarlahi,671955
Sindhuli,205297
Sindhupalchok,217765
Siraha,909697
Solukhumbu,17375
Sunsari,3235766
Surkhet,153882
Syangja,213284
Tanahu,244365
Taplejung,89373
Terhathum,68574
Udayapur,257451
